dataset,dimension,algorithm,n,successful_n,success_rate,success_wilson_low,success_wilson_high,metric,valid_n,mean,std,median,q1,q3
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,443.518,302.2448636307694,354.0,228.5,560.0
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.0315217457801336,0.021295541730689076,0.024886797997169148,0.016730966985051,0.03791343624470755
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,194.454,96.34224171711055,166.5,126.0,229.25
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_cost_mm,500,2269.7495504485255,179.14112634757484,2225.7823093512347,2129.436078408681,2376.2599994599213
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_efficiency,500,0.8461251433950261,0.06348061735005847,0.8577605832881641,0.803442775575174,0.8965700081151777
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_cost_mm,500,2022.9298440590435,73.62468094953834,2007.8751288242875,1967.1718441515397,2049.588233609906
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_time_s,500,1.239845098895894,0.13662451250260552,1.2443253734963946,1.1530287172427052,1.3301586057641543
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,total_nodes,500,3242.372,235.06130530246998,3289.5,3119.0,3407.0
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,collision_checks,500,15369.418,1257.0431568854528,15527.5,14519.0,16278.0
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_efficiency,500,0.9449672358401282,0.032894399907399625,0.9508501219189842,0.9314985122746532,0.9705244193405856
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,efficiency_all_runs,500,0.9449672358401282,0.032894399907399625,0.9508501219189842,0.9314985122746532,0.9705244193405856
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_attempt_capped,500,443.518,302.2448636307694,354.0,228.5,560.0
matched_ssfor,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,success,500,1.0,0.0,1.0,1.0,1.0
matched_ssfor,2,SC-RRT-fixed-matched,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,443.518,302.2448636307694,354.0,228.5,560.0
matched_ssfor,2,SC-RRT-fixed-matched,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.03157867427414745,0.021750881220786666,0.02469299999938805,0.01687655798741615,0.0386687677382724
matched_ssfor,2,SC-RRT-fixed-matched,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,194.454,96.34224171711055,166.5,126.0,229.25
