dataset,dimension,reference,metric,paired_n,map_n,reference_mean,sc_mean,reference_minus_sc,relative_difference_percent,hierarchy_ci_low,hierarchy_ci_high,hierarchy_pct_ci_low,hierarchy_pct_ci_high,sc_better_maps,tied_maps,map_wilcoxon_p,map_wilcoxon_p_holm
main,2,RRT,fixed_budget_cost_mm,500,10,2532.9384391408926,2022.929844059044,510.0085950818486,20.135056865212658,478.80215923898413,547.3023154491923,19.23435882806454,21.171229329070858,10,0,0.001953125,0.01953125
main,2,RRT,fixed_budget_time_s,500,10,0.3109401923791738,1.2410146164078033,-0.9300744240286295,-299.116822727908,-0.9636847591870552,-0.8964546603186465,-309.2361435465696,-288.5427628608833,0,0,0.001953125,0.01953125
main,2,RRT,first_solution_time_s,500,10,0.040459350017015776,0.031514907242497385,0.00894444277451839,22.107232990042284,0.0024283583448006588,0.015779335221258232,5.938621511179896,38.72070555167829,7,0,0.064453125,0.064453125
main,2,RRT,first_attempt_capped,500,10,813.41,443.51800000000003,369.89199999999994,45.47423808411502,274.30304999999987,470.70295000000004,34.194443796553145,57.20978525842874,10,0,0.001953125,0.01953125
main,2,RRT,total_nodes,500,10,3712.8740000000007,3242.3720000000003,470.5020000000004,12.672177940861992,403.3697999999998,537.6504999999996,10.874249679075696,14.483175128487924,10,0,0.001953125,0.01953125
main,2,RRT,collision_checks,500,10,4808.496,15369.418,-10560.921999999999,-219.630462414859,-10937.707449999998,-10156.8772,-227.60453337951319,-211.150225413632,0,0,0.001953125,0.01953125
main,2,RRT,efficiency_all_runs,500,10,0.7575910184930332,0.9449672358401282,-0.18737621734709498,-24.73316245483157,-0.1960825880768877,-0.1796214355489934,-26.29295964342865,-23.418480197131057,10,0,0.001953125,0.01953125
main,2,RRT-Connect,fixed_budget_cost_mm,500,10,2251.3823930738063,2022.929844059044,228.45254901476233,10.147212206934633,187.8934660963542,273.55743382849346,8.592460469737892,11.787766142955991,10,0,0.001953125,0.01953125
main,2,RRT-Connect,fixed_budget_time_s,500,10,0.5126209966414608,1.2410146164078033,-0.7283936197663425,-142.09203769228324,-0.7532508452916781,-0.7027957273160604,-145.30948894325283,-138.6273831819928,0,0,0.001953125,0.01953125
main,2,RRT-Connect,first_solution_time_s,500,10,0.018870975149446117,0.031514907242497385,-0.012643932093051268,-67.00200701298884,-0.016415134687250255,-0.009388004072083286,-86.13819363682106,-51.591578570799534,0,0,0.001953125,0.01953125
main,2,RRT-Connect,first_attempt_capped,500,10,418.64400000000006,443.51800000000003,-24.873999999999967,-5.941563715232982,-69.43074999999995,20.81244999999995,-19.37957249528243,4.353933246392118,3,0,0.232421875,0.232421875
main,2,RRT-Connect,total_nodes,500,10,4047.246,3242.3720000000003,804.8739999999998,19.886955228320684,762.7416000000002,838.8394500000006,19.129474316588112,20.580101524831367,10,0,0.001953125,0.01953125
main,2,RRT-Connect,collision_checks,500,10,5000.0,15369.418,-10369.418,-207.38835999999998,-10749.73855,-9960.059399999998,-214.99477100000001,-199.20118799999997,0,0,0.001953125,0.01953125
main,2,RRT-Connect,efficiency_all_runs,500,10,0.8522117554876655,0.9449672358401282,-0.09275548035246273,-10.884088344848609,-0.1067576229980773,-0.07939951668595835,-12.89610605086358,-9.051335222626895,10,0,0.001953125,0.01953125
main,2,RRT*,fixed_budget_cost_mm,500,10,1974.3218402225878,2022.929844059044,-48.60800383645619,-2.462010136654116,-66.05852834305905,-35.15964879490478,-3.3323845118414313,-1.7960462020041266,0,0,0.001953125,0.01953125
main,2,RRT*,fixed_budget_time_s,500,10,1.5878812771686355,1.2410146164078033,0.34686666076083217,21.844621871185044,0.3205030208440326,0.37278635804544324,20.171259435206125,23.54271673260363,10,0,0.001953125,0.01953125
main,2,RRT*,first_solution_time_s,500,10,0.12721007329353592,0.031514907242497385,0.09569516605103853,75.22609143556024,0.07917373164728636,0.11354713434945736,69.10925660506415,81.1012903893033,10,0,0.001953125,0.01953125
main,2,RRT*,first_attempt_capped,500,10,813.41,443.51800000000003,369.89199999999994,45.47423808411502,275.01685,467.71615,34.30399308428699,56.94744651275918,10,0,0.001953125,0.01953125
main,2,RRT*,total_nodes,500,10,3712.8740000000007,3242.3720000000003,470.5020000000004,12.672177940861992,405.2914499999999,538.4942499999996,10.931429550888,14.511280057331335,10,0,0.001953125,0.01953125
