dataset,dimension,reference,metric,paired_n,map_n,reference_mean,sc_mean,reference_minus_sc,relative_difference_percent,hierarchy_ci_low,hierarchy_ci_high,hierarchy_pct_ci_low,hierarchy_pct_ci_high,sc_better_maps,tied_maps,map_wilcoxon_p,map_wilcoxon_p_holm
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,500,10,2028.668087530105,2022.929844059044,5.738243471060969,0.28285767920011284,-0.17031020724022597,11.049815878073746,-0.008339538476676348,0.543752093680862,8,0,0.048828125,0.048828125
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,500,10,1.223596550583723,1.2398450988958938,-0.01624854831217082,-1.3279334846456838,-0.026967483358331074,-0.005213614578153643,-2.2352310993783897,-0.42182037218472,1,0,0.005859375,0.01171875
matched_ssfor,2,SC-RRT-fixed-matched,first_solution_time_s,500,10,0.03157867427414744,0.03152174578013359,5.692849401384842e-05,0.18027512339380933,-0.00022174984190786797,0.0003653528305745537,-0.7208399991757712,1.1451931948424785,6,0,0.6953125,0.86328125
matched_ssfor,2,SC-RRT-fixed-matched,first_attempt_capped,500,10,443.51800000000003,443.51800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,10,1.0,1.0
matched_ssfor,2,SC-RRT-fixed-matched,total_nodes,500,10,3351.19,3242.3720000000003,108.81799999999976,3.2471450439992884,93.22790000000049,125.23434999999989,2.760826606245553,3.7692952321531585,10,0,0.001953125,0.00390625
matched_ssfor,2,SC-RRT-fixed-matched,collision_checks,500,10,15388.043999999998,15369.418,18.625999999998385,0.12104202457439286,-83.21464999999989,116.39015000000113,-0.5426989822990549,0.7593265484708636,6,0,0.6953125,0.6953125
matched_ssfor,2,SC-RRT-fixed-matched,efficiency_all_runs,500,10,0.9422028039243628,0.9449672358401282,-0.002764431915765364,-0.29340094343290496,-0.005093734900740515,-0.00019582056604790533,-0.5408111140524964,-0.02097075117326936,8,0,0.048828125,0.048828125
matched_ssfor,3,SC-RRT-fixed-matched,fixed_budget_cost_mm,500,10,2580.2234692135553,2570.907022559869,9.316446653686398,0.3610713089330214,6.0695031030456,13.802010018879592,0.23565952587973144,0.5319847002937323,10,0,0.001953125,0.00390625
matched_ssfor,3,SC-RRT-fixed-matched,fixed_budget_time_s,500,10,0.9103936346980628,0.9027395332439335,0.0076541014541292585,0.8407463719435807,0.0009297998825903322,0.014566774785873964,0.10232886727547141,1.5952309385937977,8,0,0.02734375,0.02734375
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,500,10,0.01987519238534146,0.019977160672075063,-0.00010196828673360303,-0.5130430174291427,-0.00038500251755177245,0.00011250955942668854,-1.914973165603173,0.5738655730756448,4,0,0.431640625,0.86328125
matched_ssfor,3,SC-RRT-fixed-matched,first_attempt_capped,500,10,207.32800000000003,207.32800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,10,1.0,1.0
matched_ssfor,3,SC-RRT-fixed-matched,total_nodes,500,10,3638.6580000000004,3519.1459999999997,119.51200000000063,3.284507639904619,109.49159999999931,129.78840000000002,2.9891558182983773,3.6002447854382287,10,0,0.001953125,0.00390625
matched_ssfor,3,SC-RRT-fixed-matched,collision_checks,500,10,9751.709999999997,9551.504,200.2059999999965,2.0530348010758783,169.73965000000152,229.32969999999952,1.7412423866519657,2.3525681565720347,10,0,0.001953125,0.00390625
matched_ssfor,3,SC-RRT-fixed-matched,efficiency_all_runs,500,10,0.9068826124487354,0.9101524503486264,-0.0032698378998909927,-0.36055800993492215,-0.004722475819978633,-0.0021801684300831736,-0.522335155639642,-0.24001412365018227,10,0,0.001953125,0.00390625
