dataset,dimension,reference,metric,environment_id,paired_n,reference_mean,sc_mean,reference_minus_sc,improvement_percent
matched_ssfor,3,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-3d-09,50,0.9223332633392419,0.9287973108782899,-0.006464047539047946,-0.7008364325542507
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-00,50,0.01659334200201551,0.016514444461790786,7.889754022472398e-05,0.47547709325306914
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-01,50,0.025398138720774968,0.025322966377716468,7.51723430585001e-05,0.29597579525389084
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-02,50,0.0208025424991501,0.021039609102299385,-0.00023706660314928504,-1.1396039842676469
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-03,50,0.017171634661499367,0.017134112121420866,3.752254007850092e-05,0.21851466571572506
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-04,50,0.022851710622198835,0.02371181550086471,-0.0008601048786658766,-3.7638533626027324
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-05,50,0.017501014742883805,0.017563577642431428,-6.256289954762254e-05,-0.357481554451359
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-06,50,0.017386379102827004,0.017568451178376517,-0.00018207207554951296,-1.0472110062290558
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-07,50,0.025354538662359066,0.025428407377912614,-7.386871555354821e-05,-0.29134316556590517
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-08,50,0.018940188919659654,0.018569897519191678,0.0003702914004679765,1.9550565310550791
matched_ssfor,3,SC-RRT-fixed-matched,first_solution_time_s,evaluation-3d-09,50,0.01675243392004627,0.0169183254387462,-0.00016589151869993157,-0.99025323419675
matched_ssfor,3,SC-RRT-fixed-matched,first_attempt_capped,evaluation-3d-00,50,164.68,164.68,0.0,0.0
matched_ssfor,3,SC-RRT-fixed-matched,first_attempt_capped,evaluation-3d-01,50,277.92,277.92,0.0,0.0
