dataset,dimension,algorithm,n,successful_n,success_rate,success_wilson_low,success_wilson_high,metric,valid_n,mean,std,median,q1,q3
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,443.518,302.2448636307694,354.0,228.5,560.0
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.030850117700872898,0.020832304752040655,0.0244914019713178,0.0166307385225081,0.03727113400236697
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,194.454,96.34224171711055,166.5,126.0,229.25
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_cost_mm,500,2269.7495504485255,179.14112634757484,2225.7823093512347,2129.436078408681,2376.2599994599213
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_efficiency,500,0.8461251433950261,0.06348061735005847,0.8577605832881641,0.803442775575174,0.8965700081151777
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_cost_mm,500,2022.9298440590435,73.62468094953834,2007.8751288242875,1967.1718441515397,2049.588233609906
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_time_s,500,1.219169657120714,0.13782513995545506,1.2192788204993121,1.1337031682633096,1.3088182757346658
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,total_nodes,500,3242.372,235.06130530246998,3289.5,3119.0,3407.0
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,collision_checks,500,15369.418,1257.0431568854528,15527.5,14519.0,16278.0
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_efficiency,500,0.9449672358401282,0.032894399907399625,0.9508501219189842,0.9314985122746532,0.9705244193405856
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,efficiency_all_runs,500,0.9449672358401282,0.032894399907399625,0.9508501219189842,0.9314985122746532,0.9705244193405856
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_attempt_capped,500,443.518,302.2448636307694,354.0,228.5,560.0
legacy_ablation,2,SC-RRT,500,500,1.0,0.9923756595384479,1.0,success,500,1.0,0.0,1.0,1.0,1.0
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,443.518,302.2448636307694,354.0,228.5,560.0
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.030991704772808545,0.021335823483861097,0.02454714049235915,0.01671029427961905,0.03742493575555265
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,194.454,96.34224171711055,166.5,126.0,229.25
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_cost_mm,500,2269.7495504485255,179.14112634757484,2225.7823093512347,2129.436078408681,2376.2599994599213
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_efficiency,500,0.8461251433950261,0.06348061735005847,0.8577605832881641,0.803442775575174,0.8965700081151777
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,fixed_budget_cost_mm,500,2050.966021362226,71.86842828650381,2038.9520649180527,1998.4141796927704,2091.772418892745
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,fixed_budget_time_s,500,1.1675153714438202,0.10208839931844078,1.1752059829887003,1.1085253349883715,1.2323323397577042
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,total_nodes,500,3558.642,202.50776930591704,3599.5,3474.75,3687.0
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,collision_checks,500,15754.736,1007.7147972164834,15886.0,15276.5,16361.0
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,fixed_budget_efficiency,500,0.9319792610112758,0.031678134838399014,0.9363576231793477,0.9127132081785664,0.9553516846679759
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,efficiency_all_runs,500,0.9319792610112758,0.031678134838399014,0.9363576231793477,0.9127132081785664,0.9553516846679759
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_attempt_capped,500,443.518,302.2448636307694,354.0,228.5,560.0
legacy_ablation,2,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,success,500,1.0,0.0,1.0,1.0,1.0
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,443.518,302.2448636307694,354.0,228.5,560.0
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.0311213656578911,0.021125859640962957,0.02454972048872145,0.016457478996016975,0.0383282822294859
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,194.454,96.34224171711055,166.5,126.0,229.25
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_cost_mm,500,2269.7495504485255,179.14112634757484,2225.7823093512347,2129.436078408681,2376.2599994599213
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_efficiency,500,0.8461251433950261,0.06348061735005847,0.8577605832881641,0.803442775575174,0.8965700081151777
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,fixed_budget_cost_mm,500,2011.4418376996018,62.207619642973796,1999.7819418054162,1962.3486827940428,2042.7900858819232
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,fixed_budget_time_s,500,1.0791225019572304,0.09182659480481808,1.0716986664920114,1.0241606512572616,1.1369633262365821
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,total_nodes,500,3068.686,136.36604709972056,3090.0,3004.75,3151.0
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,collision_checks,500,14085.92,794.3609786039704,14122.0,13625.25,14583.0
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,fixed_budget_efficiency,500,0.9500399832384601,0.02840326599315941,0.9546982480605786,0.9345983840768852,0.9729098229059379
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,efficiency_all_runs,500,0.9500399832384601,0.02840326599315941,0.9546982480605786,0.9345983840768852,0.9729098229059379
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_attempt_capped,500,443.518,302.2448636307694,354.0,228.5,560.0
legacy_ablation,2,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,success,500,1.0,0.0,1.0,1.0,1.0
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,207.328,77.51305026847962,183.5,157.0,234.0
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.01903164267411916,0.005795433540869345,0.01721925797755825,0.0153150200203526,0.0209382062603253
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,155.222,36.29500476293512,145.0,131.0,167.0
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_cost_mm,500,2641.3799422417756,102.07592532418853,2622.020279091987,2566.24504254633,2695.6770389083244
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_solution_efficiency,500,0.8865142390866677,0.0329536975236069,0.8917812771247255,0.8674142369650107,0.9111634124852005
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_cost_mm,500,2570.907022559869,69.1280396002363,2556.951397816745,2519.977343367841,2608.8520053238476
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_time_s,500,0.870508240557625,0.05677816549055006,0.8637960854975972,0.8315272730105789,0.9023286742449272
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,total_nodes,500,3519.146,94.77940152748285,3536.0,3462.75,3591.0
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,collision_checks,500,9551.504,354.95289419611214,9505.0,9306.75,9744.5
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,fixed_budget_efficiency,500,0.9101524503486265,0.02391543886853709,0.9144751822280711,0.8962825739116944,0.9278927074231331
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,efficiency_all_runs,500,0.9101524503486265,0.02391543886853709,0.9144751822280711,0.8962825739116944,0.9278927074231331
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,first_attempt_capped,500,207.328,77.51305026847962,183.5,157.0,234.0
legacy_ablation,3,SC-RRT,500,500,1.0,0.9923756595384479,1.0,success,500,1.0,0.0,1.0,1.0,1.0
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,207.328,77.51305026847962,183.5,157.0,234.0
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.019095313227386165,0.005837860973371162,0.0172844555345363,0.015297347024898026,0.0210538727551465
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,155.222,36.29500476293512,145.0,131.0,167.0
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_cost_mm,500,2641.3799422417756,102.07592532418853,2622.020279091987,2566.24504254633,2695.6770389083244
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_solution_efficiency,500,0.8865142390866677,0.0329536975236069,0.8917812771247255,0.8674142369650107,0.9111634124852005
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,fixed_budget_cost_mm,500,2586.3041732846814,71.60444812665781,2572.348404094623,2534.952787764225,2621.387589944854
