dataset,dimension,reference,metric,environment_id,paired_n,reference_mean,sc_mean,reference_minus_sc,improvement_percent
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-00,50,3.106314122037729,0.8747001759789419,2.231613946058787,71.84121947701985
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-01,50,2.537017486599507,0.9154135141393636,1.6216039724601434,63.91772942147362
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-02,50,2.783937870803056,0.9079170311242342,1.876020839678822,67.38730987332214
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-03,50,2.8154371543216983,0.8847880423185416,1.9306491120031568,68.57368878007485
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-04,50,2.3590152451978064,0.8779469768155832,1.4810682683822232,62.78332755149421
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-05,50,2.993693164262222,0.9321761250239797,2.0615170392382423,68.8620017524839
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-06,50,2.8578156070248224,0.8931581716379151,1.9646574353869073,68.74682294258471
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-07,50,1.852603298437316,0.8509030352625996,1.0017002631747163,54.06987367558168
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-08,50,2.8861190311028624,0.9236370807210915,1.962481950381771,67.99726308002809
main,3,Informed-RRT*,fixed_budget_time_s,evaluation-3d-09,50,3.3984043329616545,0.9073942414566409,2.4910100915050135,73.29940311528907
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-00,50,0.09876868949737397,0.0161227093392517,0.08264598015812227,83.67629516874337
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-01,50,0.10801261441549283,0.02624052259605373,0.08177209181943909,75.70605735445477
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-02,50,0.09454487734357823,0.020644328180933324,0.07390054916264491,78.16451957950999
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-03,49,0.10829728834654144,0.016723657654104135,0.0915736306924373,84.55763952224736
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-04,50,0.1004418113129213,0.02227594564086753,0.07816586567205377,77.82203909936673
