epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,343.071,1.22368,0.01328,0.0505,0.6534,1.01824,0.99367,1,0.995,0.626,0.99367,1,0.995,0.995,1.35059,0.01118,0.00034,0.60252,1.14757,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,357.787,1.19427,0.01271,0.04167,0.64156,1.01925,0.99256,1,0.995,0.65945,0.99256,1,0.995,0.995,1.30082,0.00432,0.00035,0.59866,1.11635,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,372.167,1.18622,0.01194,0.02943,0.61968,1.01694,0.99155,1,0.995,0.70382,0.99155,1,0.995,0.995,1.17107,0.0052,0.00039,0.53703,1.07295,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,387.123,1.1957,0.01098,0.02834,0.6222,1.00564,0.98797,1,0.995,0.53159,0.98797,1,0.995,0.995,1.62839,0.00986,0.00045,0.72817,1.13254,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,401.86,1.1903,0.0109,0.03575,0.63746,1.02026,0.99408,1,0.995,0.49032,0.99408,1,0.995,0.995,1.74711,0.00732,0.00063,0.68626,1.20019,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,416.805,1.12972,0.00975,0.03698,0.60058,1.00904,0.99362,1,0.995,0.43984,0.99362,1,0.995,0.995,1.86139,0.01379,0.00049,0.72021,1.24681,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,431.186,1.13425,0.01091,0.04082,0.59337,1.00431,0.97908,1,0.995,0.53476,0.97908,1,0.995,0.995,1.56881,0.01067,0.00048,0.67815,1.11553,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,445.955,1.07075,0.00956,0.0253,0.57045,0.96345,0.99481,1,0.995,0.50134,0.99481,1,0.995,0.995,1.71655,0.00793,0.00044,0.70928,1.19788,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,460.347,1.09965,0.01107,0.03059,0.58657,0.97793,0.99448,1,0.995,0.48764,0.99448,1,0.995,0.995,1.67365,0.01154,0.00025,0.6422,1.14219,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,475.087,1.09567,0.00943,0.041,0.57376,0.98037,0.99432,1,0.995,0.62077,0.99432,1,0.995,0.995,1.32326,0.00699,0.00054,0.55582,1.0679,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,489.521,1.03932,0.01002,0.03725,0.54758,0.97807,0.98758,1,0.995,0.52421,0.98758,1,0.995,0.995,1.79021,0.00935,0.00043,0.67352,1.2473,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,504.316,1.05886,0.00933,0.02792,0.56334,0.99401,0.99022,1,0.995,0.57194,0.99022,1,0.995,0.995,1.51049,0.0087,0.00024,0.60454,1.12034,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,518.714,1.05362,0.00824,0.02973,0.53488,0.96574,0.99488,1,0.995,0.50263,0.99488,1,0.995,0.995,1.69451,0.0119,0.00033,0.60469,1.18333,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,533.508,1.04482,0.00863,0.02441,0.54133,0.97008,0.99462,1,0.995,0.51549,0.99462,1,0.995,0.995,1.74123,0.0109,0.00027,0.70288,1.21914,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,547.904,0.99712,0.00839,0.04314,0.53411,0.95522,0.99461,1,0.995,0.59562,0.99461,1,0.995,0.995,1.41626,0.0049,0.00032,0.53022,1.07726,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,562.564,0.96777,0.00801,0.03057,0.51633,0.94395,0.99488,1,0.995,0.63743,0.99488,1,0.995,0.995,1.21882,0.00444,0.00038,0.52114,1.02575,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,576.931,0.98711,0.00791,0.02402,0.51801,0.95773,0.99432,1,0.995,0.56152,0.99432,1,0.995,0.995,1.64404,0.00671,0.00034,0.60963,1.12345,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,591.692,0.99246,0.00745,0.04355,0.53178,0.95006,0.99423,1,0.995,0.53556,0.99423,1,0.995,0.995,1.49315,0.00839,0.00027,0.62311,1.14391,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,606.079,0.9858,0.00837,0.03352,0.51946,0.95879,0.9766,1,0.995,0.55291,0.9766,1,0.995,0.995,1.56816,0.0084,0.00021,0.63429,1.14592,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
