environment_id,family,dimension,map_index,seed_index,seed,algorithm,checkpoint,best_cost_mm
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT,5000,1950.7908440641386
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,250,2065.41293468772
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,500,2060.0351952129895
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,1000,2043.4898491697058
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,2000,2020.372659905962
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,3000,2017.781370403651
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,4000,2004.4419192423727
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,5000,1993.1798125939931
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,500,2133.7549802956287
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,1000,2112.7957267376332
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,2000,2079.5955895008155
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,3000,2017.9916798209927
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,4000,2005.1410684057482
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,5000,2004.5925672766036
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,250,nan
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,500,2133.7549802956287
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,1000,2112.7957267376332
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,2000,2079.5955895008155
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,3000,2020.5863866688605
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,4000,2017.3592291017474
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,5000,2017.3592291017474
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,100,nan
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,250,nan
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,500,2154.655008848594
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,1000,2131.1508773817136
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,2000,2100.387108243926
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,3000,2020.6104162769218
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,4000,1998.6857936323065
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,5000,1991.4758770927972
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,250,nan
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,500,2123.888686530208
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,1000,2082.7715252873677
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,2000,2030.4315975214818
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,3000,2022.5727373947077
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,4000,2001.9759708427152
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,5000,1997.0831753939813
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,100,nan
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,250,nan
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,500,2126.437224770735
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,1000,2104.4297516295883
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,2000,2033.0790146892582
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,3000,2016.9967672444322
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,4000,1980.0574259376199
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,5000,1969.055087235724
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,500,2123.888686530208
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,1000,2082.7715252873677
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,2000,2030.4315975214818
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,3000,2018.826980749123
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,4000,1970.9173112178307
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,5000,1946.9168236944815
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,100,nan
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,250,nan
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,500,2053.5123643035367
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,1000,2046.6475642691685
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,2000,2018.9889956813079
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,3000,2004.45493782681
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,4000,1997.760752084651
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,5000,1982.9203636732789
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,500,2049.544561236568
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,1000,2043.767855485463
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,2000,2007.1508981404845
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,3000,2007.1508981404845
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,4000,1990.9359469065967
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,5000,1971.4675951866004
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,250,nan
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,500,2049.544561236568
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,1000,2043.767855485463
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,2000,2007.1508981404845
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,3000,2007.1508981404845
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,4000,2002.6936243404
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,5000,1987.2858256117383
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,250,2221.1935412088474
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,500,2128.684831434159
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,1000,2085.6199134519793
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,2000,2085.6199134519793
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,3000,2026.0993020589333
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,4000,1979.5982225244009
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,5000,1967.6026211764142
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,250,2221.1935412088474
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,500,2128.684831434159
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,1000,2085.6199134519793
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,2000,2085.6199134519793
