dimension,reference,metric,paired_n,mean_reference_minus_sc,mean_improvement_percent,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_raw,wilcoxon_p_holm
2,SC-RRT-no-ADCS,first_solution_attempt,500,0.0,0.0,0.0,0.0,1.0,1.0
2,SC-RRT-no-ADCS,first_solution_time_s,500,0.00014158707193564734,0.45685473894896156,-8.98207839898512e-05,0.00038740418201195975,0.32368915624682554,0.32368915624682554
2,SC-RRT-no-ADCS,fixed_budget_cost_mm,500,28.03617730318265,1.3669742458512975,24.036772172276045,32.06922992875271,1.0421578455137387e-43,2.0843156910274775e-43
2,SC-RRT-no-ADCS,fixed_budget_time_s,500,-0.05165428567689377,-4.424291700161082,-0.06047590625417359,-0.04305598216710495,3.6534435307958166e-26,3.6534435307958166e-26
2,SC-RRT-no-SSFOR,first_solution_attempt,500,0.0,0.0,0.0,0.0,1.0,1.0
2,SC-RRT-no-SSFOR,first_solution_time_s,500,0.00027124795701820564,0.8715811510329023,6.443591664720047e-05,0.00048186082077445667,0.0074211906833693215,0.014842381366738643
2,SC-RRT-no-SSFOR,fixed_budget_cost_mm,500,-11.488006359441762,-0.571132912924795,-16.135120148591394,-6.9692607422734385,8.149984811729392e-07,8.149984811729392e-07
2,SC-RRT-no-SSFOR,fixed_budget_time_s,500,-0.1400471551634837,-12.97787368065042,-0.1508811509577412,-0.12954271692832117,6.583649258452368e-70,1.3167298516904737e-69
3,SC-RRT-no-ADCS,first_solution_attempt,500,0.0,0.0,0.0,0.0,1.0,1.0
3,SC-RRT-no-ADCS,first_solution_time_s,500,6.367055326699963e-05,0.33343550068445293,-2.568457511370562e-05,0.00016754210373910256,0.4327033215949898,0.8654066431899796
3,SC-RRT-no-ADCS,fixed_budget_cost_mm,500,15.397150724812201,0.5953341019922407,12.901970418026579,17.98635699122065,5.893172835892104e-34,5.893172835892104e-34
3,SC-RRT-no-ADCS,fixed_budget_time_s,500,0.06550546753196977,6.998344892369849,0.061489729184177125,0.06950726444834145,5.0525129426218476e-73,1.0105025885243695e-72
3,SC-RRT-no-SSFOR,first_solution_attempt,500,0.0,0.0,0.0,0.0,1.0,1.0
3,SC-RRT-no-SSFOR,first_solution_time_s,500,5.216945661231813e-06,0.02740444466907297,-6.57718106813246e-05,7.921348478703045e-05,0.6921053640589918,0.8654066431899796
3,SC-RRT-no-SSFOR,fixed_budget_cost_mm,500,25.983748379066878,1.0005714783942243,22.14566424037558,29.93749403406954,1.16715233739642e-37,2.33430467479284e-37
3,SC-RRT-no-SSFOR,fixed_budget_time_s,500,-0.032766292022075504,-3.9112631376946108,-0.03731295795605692,-0.028320153534878045,5.0974751176327745e-36,5.0974751176327745e-36
