dimension,reference,metric,paired_n,mean_reference_minus_sc,mean_improvement_percent,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_raw,wilcoxon_p_holm
2,RRT,first_solution_attempt,20,556.95,52.79647359939331,368.59875,768.55,0.00025359518031723035,0.0012679759015861518
2,RRT,first_solution_time_s,20,0.0203573003585916,35.693324595656485,0.007764697402890318,0.033113789779308705,0.006424602628967159,0.012849205257934319
2,RRT,fixed_budget_cost_mm,20,444.02328090710625,18.050886086530188,371.8053522758039,527.9760463706494,8.857457687863572e-05,0.00044287288439317856
2,RRT,fixed_budget_time_s,20,-1.023663666046923,-303.80600496861723,-1.0981160093332438,-0.9384975306605339,8.857457687863572e-05,0.00044287288439317856
2,RRT-Connect,first_solution_attempt,20,97.7,16.402249643246872,-111.5525,343.8074999999999,0.6813223261500251,0.6813223261500251
2,RRT-Connect,first_solution_time_s,20,-0.00793193684366999,-27.594453970436852,-0.02162343466661697,0.005518771063361757,0.26272224684071965,0.26272224684071965
2,RRT-Connect,fixed_budget_cost_mm,20,272.6476317575007,11.913989003784462,207.8841268573602,341.972623202169,0.00010334649564653789,0.00044287288439317856
2,RRT-Connect,fixed_budget_time_s,20,-0.8161582198983524,-149.90454946250222,-0.8891729177942761,-0.7313994031409676,8.857457687863572e-05,0.00044287288439317856
2,RRT*,first_solution_attempt,20,556.95,52.79647359939331,368.59875,768.55,0.00025359518031723035,0.0012679759015861518
2,RRT*,first_solution_time_s,20,0.16898496704816351,82.16652122362129,0.12249862768738239,0.219332477041753,8.857457687863572e-05,0.00044287288439317856
2,RRT*,fixed_budget_cost_mm,20,-39.38678436752967,-1.992822686197766,-56.48365176002774,-22.847118369538716,0.0005934167947217434,0.0005934167947217434
2,RRT*,fixed_budget_time_s,20,0.33790326229063794,19.894059058427086,0.2608787130162091,0.42049284209053434,8.857457687863572e-05,0.00044287288439317856
2,Informed-RRT*,first_solution_attempt,20,556.95,52.79647359939331,368.59875,768.55,0.00025359518031723035,0.0012679759015861518
2,Informed-RRT*,first_solution_time_s,20,0.1708930953493109,82.33045923551383,0.12365615240443731,0.22233530775898538,8.857457687863572e-05,0.00044287288439317856
2,Informed-RRT*,fixed_budget_cost_mm,20,-52.39715887004612,-2.6686657314210205,-70.06468175136287,-35.445179399168836,8.857457687863572e-05,0.00044287288439317856
2,Informed-RRT*,fixed_budget_time_s,20,1.5560295172967016,53.35007722203722,1.2709755525492075,1.8586612994757887,8.857457687863572e-05,0.00044287288439317856
2,Dynamic-RRT,first_solution_attempt,20,398.65,44.46241356234664,143.63750000000002,633.7012500000001,0.011129014082381275,0.02225802816476255
2,Dynamic-RRT,first_solution_time_s,20,0.1979126502526924,84.36560405475952,0.1424508987025183,0.25226836483430815,0.00010334649564653789,0.00044287288439317856
2,Dynamic-RRT,fixed_budget_cost_mm,20,493.84558104249027,19.677754395870895,421.6363650125377,569.0313283577108,8.857457687863572e-05,0.00044287288439317856
2,Dynamic-RRT,fixed_budget_time_s,20,0.33143260260403623,19.58772029690842,0.2548502826930781,0.42202601283053803,8.857457687863572e-05,0.00044287288439317856
3,RRT,first_solution_attempt,20,385.15,63.40961475139941,340.0975,428.75374999999997,8.844915021211924e-05,0.00044224575106059617
3,RRT,first_solution_time_s,20,0.01523773391672877,39.85062228805906,0.01110575236947628,0.01880255507312541,0.0001401336206158959,0.00044287288439317856
3,RRT,fixed_budget_cost_mm,20,484.06033888808327,15.806154996587301,436.9915278920819,531.3319441812193,8.857457687863572e-05,0.00044287288439317856
3,RRT,fixed_budget_time_s,20,-0.5495914007420651,-138.46298807364855,-0.5789372386857575,-0.5211424704785168,8.857457687863572e-05,0.00044287288439317856
3,RRT-Connect,first_solution_attempt,20,-32.15,-16.912151499210943,-73.85125,7.001249999999982,0.14024012294537253,0.14024012294537253
3,RRT-Connect,first_solution_time_s,20,-0.011016938538523391,-91.94223527613083,-0.014858399436925539,-0.00794977948818998,8.857457687863572e-05,0.00044287288439317856
3,RRT-Connect,fixed_budget_cost_mm,20,-22.507184217545067,-0.8805929089690864,-63.26100419620716,14.523138856821186,0.26272224684071965,0.26272224684071965
3,RRT-Connect,fixed_budget_time_s,20,-0.2573388493445236,-37.34010312300249,-0.28873082122685445,-0.22727935298484228,8.857457687863572e-05,0.00044287288439317856
3,RRT*,first_solution_attempt,20,385.15,63.40961475139941,340.0975,428.75374999999997,8.844915021211924e-05,0.00044224575106059617
3,RRT*,first_solution_time_s,20,0.07311637449893171,76.07115324822018,0.06580589933430019,0.08109702896763339,8.857457687863572e-05,0.00044287288439317856
3,RRT*,fixed_budget_cost_mm,20,-111.84903494731307,-4.534596852819921,-146.2736554179595,-81.73265709096702,0.00010334649564653789,0.00044287288439317856
3,RRT*,fixed_budget_time_s,20,0.5102104493533262,35.024490781930496,0.4676042039787718,0.5515031000236196,8.857457687863572e-05,0.00044287288439317856
3,Informed-RRT*,first_solution_attempt,20,385.15,63.40961475139941,340.0975,428.75374999999997,8.844915021211924e-05,0.00044224575106059617
3,Informed-RRT*,first_solution_time_s,20,0.07424986205296591,76.35005563502142,0.06707954802513995,0.08140194065505056,8.857457687863572e-05,0.00044287288439317856
3,Informed-RRT*,fixed_budget_cost_mm,20,-189.56383222242673,-7.935339933403023,-211.40403401875562,-170.04183032957877,8.857457687863572e-05,0.00044287288439317856
3,Informed-RRT*,fixed_budget_time_s,20,2.0937741726491366,68.86761386926874,1.7565916153418948,2.4976234194447895,8.857457687863572e-05,0.00044287288439317856
3,Dynamic-RRT,first_solution_attempt,20,180.4,44.803178939525644,116.99875,238.4,0.00025359518031723035,0.0005071903606344607
3,Dynamic-RRT,first_solution_time_s,20,0.10116140529862608,81.47612197592795,0.08647097358654719,0.11614129516878167,8.857457687863572e-05,0.00044287288439317856
3,Dynamic-RRT,fixed_budget_cost_mm,20,319.60167923674237,11.02827202997436,273.40464886965646,364.10035079091307,8.857457687863572e-05,0.00044287288439317856
3,Dynamic-RRT,fixed_budget_time_s,20,1.023644210398197,51.95745264618084,0.9919064431761216,1.0545703775079163,8.857457687863572e-05,0.00044287288439317856
