dimension,algorithm,n,success_rate,success_ci95_low,success_ci95_high,first_solution_attempt_mean,first_solution_attempt_std,first_solution_attempt_median,first_solution_attempt_q1,first_solution_attempt_q3,first_solution_time_s_mean,first_solution_time_s_std,first_solution_time_s_median,first_solution_time_s_q1,first_solution_time_s_q3,first_solution_nodes_mean,first_solution_nodes_std,first_solution_nodes_median,first_solution_nodes_q1,first_solution_nodes_q3,first_solution_cost_mm_mean,first_solution_cost_mm_std,first_solution_cost_mm_median,first_solution_cost_mm_q1,first_solution_cost_mm_q3,first_solution_efficiency_mean,first_solution_efficiency_std,first_solution_efficiency_median,first_solution_efficiency_q1,first_solution_efficiency_q3,fixed_budget_time_s_mean,fixed_budget_time_s_std,fixed_budget_time_s_median,fixed_budget_time_s_q1,fixed_budget_time_s_q3,fixed_budget_cost_mm_mean,fixed_budget_cost_mm_std,fixed_budget_cost_mm_median,fixed_budget_cost_mm_q1,fixed_budget_cost_mm_q3,fixed_budget_efficiency_mean,fixed_budget_efficiency_std,fixed_budget_efficiency_median,fixed_budget_efficiency_q1,fixed_budget_efficiency_q3,total_nodes_mean,total_nodes_std,total_nodes_median,total_nodes_q1,total_nodes_q3,collision_checks_mean,collision_checks_std,collision_checks_median,collision_checks_q1,collision_checks_q3
2,SC-RRT,20,1.0,0.8388748419471806,1.0,497.95,353.33381785799287,396.0,247.75,578.5,0.03406542184529821,0.02303539669029379,0.0263284649990964,0.018274188492796325,0.04374731797724958,185.6,93.1610942061342,151.5,131.75,209.5,2207.2950583640736,134.50777010100379,2176.289674106189,2117.4788084205916,2277.6514296954642,0.8678211483533321,0.04983065435024778,0.8772690891567563,0.8382719696633842,0.9016534799053678,1.2405392813030631,0.16564349334456493,1.2859763549931813,1.225856090488378,1.3259586562344339,2015.8187389172963,74.60512040719335,1979.1941155717445,1962.5399483275728,2059.707848027694,0.9482943326524194,0.03389511469495973,0.9646291518889981,0.9269240052486895,0.9728153091412628,3227.3,315.9132292593215,3309.5,3113.0,3452.5,15411.8,1700.682265569043,15845.5,15150.0,16566.75
2,SC-RRT-no-ADCS,20,1.0,0.8388748419471806,1.0,497.95,353.33381785799287,396.0,247.75,578.5,0.035088465493754446,0.025887937942474095,0.02624903546529815,0.0175072774873115,0.03766759549034755,185.6,93.1610942061342,151.5,131.75,209.5,2207.2950583640736,134.50777010100379,2176.289674106189,2117.4788084205916,2277.6514296954642,0.8678211483533321,0.04983065435024778,0.8772690891567563,0.8382719696633842,0.9016534799053678,1.1707382626394973,0.09948098639209113,1.1699653359828517,1.1202902307122713,1.2485447117505828,2054.375235654931,90.63180887278756,2020.6164619123288,1990.6837178330359,2073.5708116428896,0.9309508995557236,0.038762705894977725,0.9448552941876305,0.9208235188731646,0.9590628657802411,3526.4,238.28165554322695,3603.0,3395.75,3701.75,15581.1,1197.6326165442083,15921.5,15028.25,16357.5
2,SC-RRT-no-SSFOR,20,1.0,0.8388748419471806,1.0,497.95,353.33381785799287,396.0,247.75,578.5,0.03430001889937553,0.02411709435668243,0.02555770301842125,0.017834123747888925,0.03867156249179965,185.6,93.1610942061342,151.5,131.75,209.5,2207.2950583640736,134.50777010100379,2176.289674106189,2117.4788084205916,2277.6514296954642,0.8678211483533321,0.04983065435024778,0.8772690891567563,0.8382719696633842,0.9016534799053678,1.0797962064447346,0.06931260273077167,1.0923000539769419,1.0384266342152841,1.1317442062718326,2025.1647821703566,86.15011605360695,1986.4601075241326,1970.1541664227389,2052.7914978236836,0.944274730476183,0.03818537063423154,0.961100910376836,0.9303225913873622,0.9690553019971488,3029.4,158.64306178535378,3076.0,3022.0,3121.25,14132.5,890.3679606000869,14248.0,13958.75,14762.0
3,SC-RRT,20,1.0,0.8388748419471806,1.0,222.25,106.87812783973303,186.0,148.0,246.0,0.023001392252626776,0.009936578027788249,0.019299876003060448,0.016398262974689624,0.024806028537568598,161.8,52.836988638841376,142.5,128.0,169.25,2663.5877087265203,185.27732520436584,2594.9249851318846,2554.4751953888804,2631.5950165821596,0.8814855535947833,0.054918504228851764,0.9011006957213734,0.8885609784318813,0.9153624794229173,0.968843293649843,0.0518587851563827,0.9537899465067312,0.9395228552748449,0.9854358177108224,2578.4196822973126,88.46068892615378,2562.0915396412656,2528.2048567975253,2580.2468064236587,0.9078107727261685,0.02916135624532875,0.9126561409384981,0.9062189745994824,0.9248736122146951,3530.45,92.38675856363149,3527.5,3467.75,3581.75,9519.95,382.15723892549505,9425.0,9250.75,9697.5
3,SC-RRT-no-ADCS,20,1.0,0.8388748419471806,1.0,222.25,106.87812783973303,186.0,148.0,246.0,0.02275531655177469,0.00932643846481627,0.0193052064860239,0.017175460263388224,0.024008186752325775,161.8,52.836988638841376,142.5,128.0,169.25,2663.5877087265203,185.27732520436584,2594.9249851318846,2554.4751953888804,2631.5950165821596,0.8814855535947833,0.054918504228851764,0.9011006957213734,0.8885609784318813,0.9153624794229173,1.0450354585016612,0.039657864948484924,1.0404271065199282,1.013006678535021,1.0776173697522609,2584.6445551718566,89.07270100032699,2569.041027690822,2526.6187252766904,2581.193942612663,0.9056341395648222,0.029259734249508566,0.9101717639768354,0.9058876168669561,0.9254536779805472,3901.3,65.45315721547497,3892.0,3857.0,3940.5,10730.5,299.2852010690595,10698.0,10520.0,10843.25
3,SC-RRT-no-SSFOR,20,1.0,0.8388748419471806,1.0,222.25,106.87812783973303,186.0,148.0,246.0,0.022846709901932584,0.009755362022187778,0.01906376148690465,0.01691382775607045,0.024645060984767025,161.8,52.836988638841376,142.5,128.0,169.25,2663.5877087265203,185.27732520436584,2594.9249851318846,2554.4751953888804,2631.5950165821596,0.8814855535947833,0.054918504228851764,0.9011006957213734,0.8885609784318813,0.9153624794229173,0.9277660643507261,0.03909486844763086,0.9241905864910223,0.9029693920019781,0.9455805237666938,2598.8493855681218,83.2744764938077,2575.382048478381,2550.0226179088813,2603.1819711924263,0.9005781421785283,0.027800096832975286,0.9079377132146775,0.8982492478095772,0.9169605861573342,3633.15,83.04423361583937,3653.0,3577.25,3693.75,8965.8,199.27938599918085,9010.0,8882.25,9110.5
