epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,415.75,0.8794,0.0082,0.02024,0.44225,0.85332,0.99448,1,0.995,0.82487,0.99448,1,0.995,0.995,0.86918,0.00149,0.00012,0.36484,0.97593,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,433.145,0.91631,0.00888,0.01949,0.45019,0.86672,0.99344,1,0.995,0.79765,0.99344,1,0.995,0.995,0.92143,0.00172,0.00022,0.37633,0.98325,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,449.925,0.89805,0.01176,0.02987,0.44139,0.86453,0.9945,1,0.995,0.79419,0.9945,1,0.995,0.995,0.95296,0.00169,0.00042,0.39439,1.02076,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,466.612,0.86903,0.011,0.01606,0.4319,0.84928,0.99406,1,0.995,0.77096,0.99406,1,0.995,0.995,0.91332,0.00142,0.00015,0.35552,1.01835,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,483.335,0.85804,0.00779,0.02062,0.42827,0.86388,0.99392,1,0.995,0.73173,0.99392,1,0.995,0.995,1.03965,0.00125,7e-05,0.38306,1.03624,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,500.556,0.84561,0.00846,0.01463,0.41572,0.85885,0.99449,1,0.995,0.74914,0.99449,1,0.995,0.995,1.00142,0.00139,8e-05,0.42013,0.99866,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,517.237,0.81538,0.01122,0.01389,0.40968,0.85032,0.99442,1,0.995,0.7752,0.99442,1,0.995,0.995,0.94599,0.00095,0.00013,0.36886,1.0047,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,534.028,0.83941,0.00615,0.01378,0.41613,0.84538,0.9936,1,0.995,0.75921,0.9936,1,0.995,0.995,1.01422,0.00086,8e-05,0.36142,1.10173,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,550.781,0.79718,0.00943,0.01301,0.40014,0.8513,0.99438,1,0.995,0.77438,0.99438,1,0.995,0.995,0.91695,0.00123,0.0001,0.35077,1.01912,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,567.905,0.79574,0.0139,0.01177,0.40236,0.84351,0.99438,1,0.995,0.81399,0.99438,1,0.995,0.995,0.8303,0.00136,9e-05,0.32917,0.94164,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
