# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 14-Mar-2026 21:40:05

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.034±0.028,2320.66±122.18,0.034±0.028,269±171,0.470±0.037
RRT_Connect_Basic,100.0,0.009±0.004,2144.11±97.62,0.009±0.004,69±10,0.503±0.065
RRT_Star_Basic,100.0,0.115±0.102,1971.72±18.90,9.995±2.520,3850±104,0.288±0.083
Informed_RRT_Star_Basic,100.0,0.081±0.037,2315.86±104.12,0.306±0.081,3804±110,0.414±0.024
SC_RRT_Basic,100.0,0.020±0.013,2003.42±60.97,0.020±0.013,206±32,0.156±0.128
Dynamic_RRT_Basic,100.0,0.038±0.031,2281.84±125.50,0.038±0.031,293±157,0.462±0.035

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
Dynamic_RRT_Basic,78,1,0.058,2241.86,0.058,399,0.372
RRT_Basic,79,1,0.035,2363.52,0.035,347,0.440
RRT_Connect_Basic,80,1,0.006,2050.44,0.006,58,0.465
RRT_Star_Basic,81,1,0.033,1974.94,8.641,3917,0.175
Informed_RRT_Star_Basic,82,1,0.095,2316.13,0.279,3845,0.403
SC_RRT_Basic,83,1,0.013,1980.07,0.013,208,0.316
Dynamic_RRT_Basic,84,1,0.023,2241.23,0.023,237,0.448
RRT_Basic,85,1,0.046,2339.79,0.046,505,0.485
RRT_Connect_Basic,86,1,0.010,2207.22,0.010,79,0.438
RRT_Star_Basic,87,1,0.051,1975.53,8.268,3852,0.319
Informed_RRT_Star_Basic,88,1,0.051,2241.23,0.266,3802,0.402
SC_RRT_Basic,89,1,0.009,1964.36,0.009,151,0.188
Dynamic_RRT_Basic,90,1,0.016,2214.66,0.016,174,0.475
RRT_Basic,91,1,0.024,2316.62,0.024,227,0.515
RRT_Connect_Basic,92,1,0.007,2181.40,0.007,69,0.509
RRT_Star_Basic,93,1,0.090,2015.85,7.915,3549,0.361
Informed_RRT_Star_Basic,94,1,0.057,2313.81,0.263,3878,0.439
SC_RRT_Basic,95,1,0.016,1965.59,0.016,205,0.220
Dynamic_RRT_Basic,96,1,0.025,2558.31,0.025,264,0.421
RRT_Basic,97,1,0.036,2258.42,0.036,330,0.477
RRT_Connect_Basic,98,1,0.006,2004.45,0.006,56,0.418
RRT_Star_Basic,99,1,0.054,1977.26,10.615,3986,0.352
