activation_attempt,added_nodes,algorithm,budget_limit,collision_checks,collision_rejections,dimension,environment_id,expansion_attempts,family,feedback_updates,first_solution_attempt,first_solution_cost_mm,first_solution_efficiency,first_solution_nodes,first_solution_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,fixed_budget_time_s,gamma_a_final,gamma_b_final,map_index,p_a_final,p_b_final,path_valid,pid_improvement_ema_final,rewire_attempts,rewire_successes,seed,seed_index,success,total_nodes
2561,3215,SC-RRT,5000,15367,1302,2,evaluation-2d-00,5000,uniform_clutter,99,497.0,2627.616127963768,0.7265857021067895,184.0,0.033897982008056715,2035.1718536324838,0.9380968520157433,1.2659204140072688,1.289592960566407,1.289592960566407,0,0.9466974734271422,0.9466974734271422,1,0.12697741526405762,8788,3106,20000000,0,1,3217
2561,3402,SC-RRT-fixed-matched,5000,15779,1234,2,evaluation-2d-00,5000,uniform_clutter,99,497.0,2627.616127963768,0.7265857021067895,184.0,0.03414436700404622,1987.7915438540779,0.960457003203667,1.3137490579974838,1.5,1.5,0,0.8,0.8,1,0.0,8822,3096,20000000,0,1,3404
2567,3575,SC-RRT,5000,10144,258,3,evaluation-3d-00,5000,uniform_clutter,99,192.0,2637.2026692746344,0.8866472863312881,145.0,0.01919203400029801,2505.4444185397433,0.9332749802451435,1.0591817390231881,1.3079680619185585,1.3079680619185585,0,0.9336624194015528,0.9336624194015528,1,0.020660679361616526,4866,888,30000000,0,1,3577
2567,3634,SC-RRT-fixed-matched,5000,9765,264,3,evaluation-3d-00,5000,uniform_clutter,99,192.0,2637.2026692746344,0.8866472863312881,145.0,0.019065296975895762,2525.613504407046,0.9258220175564645,1.0206832569965627,1.5,1.5,0,0.8,0.8,1,0.0,4358,785,30000000,0,1,3636
