pid_config,Kp,Ki,Kd,success_rate,success_count,total_count,success_rate_pct,path_length_mean,path_length_std,path_length_min,path_length_max,tree_nodes_mean,tree_nodes_std,path_efficiency_mean,path_efficiency_std,planning_time_mean,planning_time_std,smoothness_mean,smoothness_std,convergence_time_mean,convergence_time_std
P1_VeryLow,0.05,0.01,0.02,0.9333,56,60,93.33,3010.3649,513.6464,2356.7308,4496.2263,1226.9464,606.5396,3.2795,1.9288,4.2142,2.5863,43.5534,4.9503,3.1743,2.2721
P2_Low,0.1,0.02,0.04,0.95,57,60,95.0,2910.3905,449.5391,2202.4759,4002.6267,1116.4211,622.301,3.6376,2.045,3.5776,2.3427,43.0177,5.9767,2.5946,2.1151
P3_Low-Mid,0.2,0.03,0.08,0.9333,56,60,93.33,2953.9003,475.0532,2225.7671,4498.4499,1136.0536,622.0467,3.532,1.8915,3.6672,2.342,44.0524,5.3471,2.6829,2.1159
P4_Mid,0.3,0.05,0.12,0.9,54,60,90.0,3050.8588,523.5198,2347.0903,4303.9109,1255.537,576.4077,3.0668,1.5643,4.0592,2.2365,43.5484,5.1631,3.0639,1.9999
P5_Mid-High,0.4,0.07,0.16,0.85,51,60,85.0,3011.017,484.749,2246.026,4132.9588,1247.1373,606.8729,3.1302,1.6454,4.0507,2.3152,43.6122,5.6384,3.0211,2.0907
P6_High,0.5,0.1,0.2,0.9333,56,60,93.33,2958.5191,511.003,2236.212,4419.8451,1205.0536,633.4895,3.3214,1.8236,3.9431,2.4119,43.0256,5.4809,2.9364,2.1666
P7_VeryHigh,0.6,0.12,0.24,0.9333,56,60,93.33,2973.6868,474.9429,2231.0326,4462.9656,1157.2857,608.1119,3.4891,1.9635,3.7594,2.3384,43.3178,5.1545,2.7773,2.114
P8_ExtremeHigh,0.7,0.15,0.28,0.9167,55,60,91.67,2887.4138,388.1523,2227.1469,3518.0379,1064.8909,624.8166,3.8397,2.12,3.4648,2.3731,43.1234,4.8669,2.4258,2.1351
P9_Maximum,0.8,0.18,0.32,0.9333,56,60,93.33,2907.9022,422.3481,2215.275,3641.4845,1157.8036,609.676,3.4632,2.0158,3.6972,2.2732,42.9721,5.6458,2.7172,2.068
