# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 15-Mar-2026 18:34:44

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.046±0.033,2323.07±127.16,0.046±0.033,271±173,0.469±0.037
RRT_Connect_Basic,100.0,0.012±0.006,2145.80±97.67,0.012±0.006,70±10,0.497±0.064
RRT_Star_Basic,100.0,0.166±0.276,1969.06±18.73,13.387±1.675,3857±98,0.293±0.079
Informed_RRT_Star_Basic,100.0,0.215±0.124,2034.17±95.19,2.083±0.418,3855±97,0.191±0.052
SC_RRT_Basic,100.0,0.038±0.014,2004.27±61.58,0.038±0.014,209±34,0.162±0.133
Dynamic_RRT_Basic,100.0,0.056±0.058,2286.43±130.45,0.056±0.058,301±198,0.463±0.040

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
Dynamic_RRT_Basic,78,1,0.059,2168.44,0.060,391,0.437
RRT_Basic,79,1,0.043,2467.29,0.043,217,0.510
RRT_Connect_Basic,80,1,0.008,2042.52,0.008,73,0.439
RRT_Star_Basic,81,1,0.112,1946.65,10.942,3855,0.184
Informed_RRT_Star_Basic,82,1,0.112,1973.62,1.990,3857,0.149
SC_RRT_Basic,83,1,0.039,1964.02,0.039,222,0.015
Dynamic_RRT_Basic,84,1,0.016,2061.92,0.016,177,0.373
RRT_Basic,85,1,0.025,2365.20,0.025,228,0.506
RRT_Connect_Basic,86,1,0.010,2174.40,0.010,74,0.476
RRT_Star_Basic,87,1,0.086,1962.85,11.473,3893,0.338
Informed_RRT_Star_Basic,88,1,0.162,2205.32,1.522,3930,0.153
SC_RRT_Basic,89,1,0.100,2059.15,0.108,357,0.310
Dynamic_RRT_Basic,90,1,0.017,2138.29,0.018,140,0.442
RRT_Basic,91,1,0.047,2475.48,0.047,390,0.441
RRT_Connect_Basic,92,1,0.011,2247.14,0.011,89,0.467
RRT_Star_Basic,93,1,0.048,1973.39,12.771,4003,0.481
Informed_RRT_Star_Basic,94,1,0.105,1956.48,2.121,4051,0.208
SC_RRT_Basic,95,1,0.077,1938.88,0.077,179,0.157
Dynamic_RRT_Basic,96,1,0.027,2291.03,0.027,274,0.453
RRT_Basic,97,1,0.076,2552.90,0.076,585,0.496
RRT_Connect_Basic,98,1,0.013,2046.03,0.013,64,0.471
RRT_Star_Basic,99,1,0.193,1960.41,10.159,3687,0.323
Informed_RRT_Star_Basic,100,1,0.077,1939.58,2.483,3887,0.118
SC_RRT_Basic,101,1,0.051,2049.19,0.060,247,0.047
Dynamic_RRT_Basic,102,1,0.082,2279.94,0.082,435,0.468
RRT_Basic,103,1,0.033,2338.23,0.033,278,0.468
RRT_Connect_Basic,104,1,0.011,2258.26,0.011,89,0.548
RRT_Star_Basic,105,1,0.116,1987.56,11.726,3835,0.372
Informed_RRT_Star_Basic,106,1,0.180,2038.48,1.536,3695,0.158
SC_RRT_Basic,107,1,0.050,2027.58,0.050,249,0.209
Dynamic_RRT_Basic,108,1,0.062,2699.67,0.063,432,0.475
RRT_Basic,109,1,0.021,2395.58,0.021,170,0.511
RRT_Connect_Basic,110,1,0.006,2047.73,0.006,61,0.448
RRT_Star_Basic,111,1,0.154,1963.61,10.791,3840,0.135
Informed_RRT_Star_Basic,112,1,0.202,2107.43,1.695,3903,0.215
SC_RRT_Basic,113,1,0.056,1937.67,0.056,189,0.015
Dynamic_RRT_Basic,114,1,0.016,2176.47,0.016,177,0.468
RRT_Basic,115,1,0.032,2434.73,0.032,262,0.465
RRT_Connect_Basic,116,1,0.009,2108.23,0.009,64,0.553
RRT_Star_Basic,117,1,0.070,2001.07,12.483,3931,0.456
Informed_RRT_Star_Basic,118,1,0.219,2015.05,1.825,3845,0.263
