0.504848,0.045913,0.175338,2.613772,0.129729,1.495257,#TechStartPoint
0.501814,0.057764,0.172223,2.620371,0.136632,1.492673,#TechLinearMove
0.500740,0.062475,0.170815,2.615903,0.145810,1.486402,#TechLinearMove
0.499618,0.067175,0.169411,2.612144,0.155284,1.480076,#TechLinearMove
0.498549,0.071887,0.167998,2.607557,0.165559,1.473085,#TechLinearMove
0.497448,0.076601,0.166615,2.604550,0.174357,1.467279,#TechLinearMove
0.496346,0.081314,0.165231,2.601496,0.183638,1.461136,#TechLinearMove
0.495306,0.086030,0.163811,2.597404,0.193591,1.454295,#TechLinearMove
0.494221,0.090698,0.162268,2.592547,0.202361,1.447885,#TechLinearMove
0.493203,0.095354,0.160647,2.586983,0.212552,1.440360,#TechLinearMove
0.492164,0.099984,0.158965,2.581554,0.223836,1.432140,#TechLinearMove
0.491310,0.104646,0.157266,2.575246,0.235207,1.423515,#TechLinearMove
0.490577,0.109291,0.155466,2.570924,0.244553,1.416602,#TechLinearMove
0.489841,0.113845,0.153451,2.565003,0.254624,1.408754,#TechLinearMove
0.489318,0.118396,0.151362,2.557952,0.266737,1.399000,#TechLinearMove
0.488747,0.122878,0.149142,2.551031,0.276897,1.390362,#TechLinearMove
0.488115,0.127403,0.147033,2.542756,0.288330,1.380427,#TechLinearMove
0.487636,0.131872,0.144771,2.533874,0.300148,1.369882,#TechLinearMove
0.487344,0.136254,0.142310,2.525513,0.311577,1.359607,#TechLinearMove
0.484677,0.134947,0.141383,2.529219,0.308615,1.361883,#TechLinearMove
0.481010,0.132429,0.140889,2.524220,0.299807,1.369354,#TechLinearMove
0.477216,0.130198,0.140032,2.513953,0.294422,1.371261,#TechLinearMove
0.473493,0.127881,0.139094,2.505014,0.290145,1.372665,#TechLinearMove
0.469715,0.125881,0.137801,2.486115,0.287472,1.370887,#TechLinearMove
0.467456,0.126862,0.135858,2.479553,0.277616,1.367659,#TechLinearMove
0.464101,0.128089,0.132398,2.458710,0.282506,1.357104,#TechLinearMove
0.461077,0.129550,0.128710,2.444015,0.286444,1.349025,#TechLinearMove
