environment_id,family,dimension,seed,algorithm,success,budget_limit,expansion_attempts,added_nodes,total_nodes,collision_checks,collision_rejections,rewire_attempts,rewire_successes,first_solution_attempt,first_solution_time_s,first_solution_nodes,first_solution_cost_mm,first_solution_efficiency,fixed_budget_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,path_valid,map_index,seed_index,pareto_start_index,gamma_a_final,gamma_b_final,p_a_final,p_b_final,feedback_updates,pid_improvement_ema_final
calibration-2d-00,uniform_clutter,2,20000000,RRT,1,5000,5000,3678,3679,4831,1137,0,0,1096.0,0.07447904301807284,719.0,2433.3156283933645,0.7846036440674367,0.36298598803114146,2433.3156283933645,0.7846036440674367,1,0,0,,,,,,,
calibration-2d-00,uniform_clutter,2,20000000,RRT-Connect,1,5000,5000,4213,4215,5000,787,0,0,225.0,0.01122131699230522,113.0,2175.4781320368547,0.8775948059823269,0.6271799870301038,2158.201486145639,0.8846200512137183,1,0,0,,,,,,,
calibration-2d-00,uniform_clutter,2,20000000,RRT*,1,5000,5000,3678,3679,25948,1137,21117,4661,1096.0,0.22749884403310716,719.0,2030.8580483345295,0.940089491123897,1.8062525070272386,1967.1735075975625,0.9705235973492244,1,0,0,,,,,,,
calibration-2d-00,uniform_clutter,2,20000000,Informed-RRT*,1,5000,5000,3643,3644,33773,1173,28933,4881,1096.0,0.21407120500225574,719.0,2030.8580483345295,0.940089491123897,2.9441161069553345,1948.3265393106606,0.9799118734373808,1,0,0,,,,,,,
calibration-2d-00,uniform_clutter,2,20000000,Dynamic-RRT,1,5000,5000,3198,3199,4470,1259,0,0,1464.0,0.4546614430146292,841.0,2322.4236312211365,0.8220672075231262,1.8607247010222636,2322.4236312211365,0.8220672075231262,1,0,0,322,,,,,,
calibration-2d-00,uniform_clutter,2,20000000,SC-RRT,1,5000,5000,3099,3101,15141,1314,8845,3113,566.0,0.04200116597348824,172.0,2077.8241099802713,0.9188401944290683,1.4487414289615117,1976.5639733650619,0.9659127328691123,1,0,0,,1.28726831686514,1.28726831686514,0.9483446567550463,0.9483446567550463,99,0.04745241292503037
calibration-2d-00,uniform_clutter,2,20000001,RRT-Connect,1,5000,5000,4062,4064,5000,938,0,0,273.0,0.013929757988080382,114.0,2131.1480386680787,0.89584968972727,0.6314483510213904,2124.9968751303873,0.898442878456719,1,0,1,,,,,,,
calibration-2d-00,uniform_clutter,2,20000001,RRT*,1,5000,5000,3724,3725,25274,1119,20415,4212,1337.0,0.32048422400839627,932.0,1975.8798310886195,0.9662471771635033,1.8536221940303221,1961.1501355765988,0.9735044118090208,1,0,1,,,,,,,
calibration-2d-00,uniform_clutter,2,20000001,Informed-RRT*,1,5000,5000,3631,3632,33526,1169,28701,4849,1337.0,0.33332352800061926,932.0,1975.8798310886195,0.9662471771635033,2.7972555679734796,1947.06052421701,0.9805490304270015,1,0,1,,,,,,,
calibration-2d-00,uniform_clutter,2,20000001,Dynamic-RRT,1,5000,5000,3318,3319,4367,1036,0,0,930.0,0.28258683101739734,609.0,2486.260526100133,0.7678955158405578,1.8332384370150976,2486.260526100133,0.7678955158405578,1,0,1,1397,,,,,,
calibration-2d-00,uniform_clutter,2,20000001,SC-RRT,1,5000,5000,3313,3315,15942,1200,9180,3344,475.0,0.03507012501358986,157.0,2123.3199641356446,0.8991524317819267,1.5643007030012086,1960.6392121359222,0.9737580975562591,1,0,1,,1.2866519983162092,1.2866519983162092,0.9487812728751203,0.9487812728751203,99,0.06208427447491674
calibration-2d-00,uniform_clutter,2,20000001,RRT,1,5000,5000,3724,3725,4859,1119,0,0,1337.0,0.0725326809915714,932.0,2332.0042486540874,0.818689893170462,0.33897544495994225,2332.0042486540874,0.818689893170462,1,0,1,,,,,,,
calibration-2d-00,uniform_clutter,2,20000002,RRT*,1,5000,5000,3586,3587,25993,1243,21148,4673,1268.0,0.2838536719791591,812.0,1959.591769699136,0.9742785914521389,1.7981625279644504,1946.6214999754661,0.9807701750071806,1,0,2,,,,,,,
calibration-2d-00,uniform_clutter,2,20000002,Informed-RRT*,1,5000,5000,3566,3567,36755,1229,31939,4583,1268.0,0.3128941779723391,812.0,1959.591769699136,0.9742785914521389,3.1754622209700756,1937.6347950075722,0.985318964194291,1,0,2,,,,,,,
calibration-2d-00,uniform_clutter,2,20000002,Dynamic-RRT,1,5000,5000,3329,3330,4355,1007,0,0,638.0,0.1722240120288916,399.0,2341.654116436159,0.8153161031780968,1.8232140809996054,2338.9189859000307,0.816269533366933,1,0,2,224,,,,,,
calibration-2d-00,uniform_clutter,2,20000002,SC-RRT,1,5000,5000,3294,3296,15906,1018,9503,3345,256.0,0.023440606018994004,130.0,2173.4064705221954,0.8784313174263099,1.4974746740190312,1956.109095787611,0.9760132056617014,1,0,2,,1.2863353973704914,1.2863353973704914,0.9490055458129364,0.9490055458129364,99,0.03759294545240537
calibration-2d-00,uniform_clutter,2,20000002,RRT,1,5000,5000,3586,3587,4845,1243,0,0,1268.0,0.0750700969947502,812.0,2314.4398489877603,0.8249029716795957,0.42696609400445595,2314.4398489877603,0.8249029716795957,1,0,2,,,,,,,
calibration-2d-00,uniform_clutter,2,20000002,RRT-Connect,1,5000,5000,3972,3974,5000,1028,0,0,325.0,0.016355792991816998,136.0,2292.719622092305,0.8327177430711649,0.6071530960034579,2265.358554921349,0.8427753324329549,1,0,2,,,,,,,
calibration-2d-00,uniform_clutter,2,20000003,Informed-RRT*,1,5000,5000,3706,3707,39171,1050,34375,3982,486.0,0.08000599901424721,326.0,2006.6028810941314,0.9514529891249153,3.564594637020491,1945.7885074280707,0.9811900429647565,1,0,3,,,,,,,
calibration-2d-00,uniform_clutter,2,20000003,Dynamic-RRT,1,5000,5000,3329,3330,4404,1057,0,0,639.0,0.20426543400390074,398.0,2224.1165013558584,0.8584030144283383,1.9320018549915403,2224.1165013558584,0.8584030144283383,1,0,3,402,,,,,,
calibration-2d-00,uniform_clutter,2,20000003,SC-RRT,1,5000,5000,3491,3493,16659,1018,9761,3971,223.0,0.020054800028447062,111.0,2188.0144504227815,0.8725665906067362,1.5953652810421772,1963.173527058123,0.9725010463362639,1,0,3,,1.2854876036393996,1.2854876036393996,0.9496060512089084,0.9496060512089084,99,0.06634022122507126
calibration-2d-00,uniform_clutter,2,20000003,RRT,1,5000,5000,3704,3705,4777,1051,0,0,486.0,0.027741278987377882,326.0,2350.736760035081,0.8121659309803735,0.3761512159835547,2350.736760035081,0.8121659309803735,1,0,3,,,,,,,
calibration-2d-00,uniform_clutter,2,20000003,RRT-Connect,1,5000,5000,4130,4132,5000,870,0,0,235.0,0.02883176103932783,127.0,2353.2798799402435,0.8112882473002565,0.6627344560110942,2165.609749288741,0.88159388358439,1,0,3,,,,,,,
calibration-2d-00,uniform_clutter,2,20000003,RRT*,1,5000,5000,3704,3705,26315,1051,21538,4793,486.0,0.07968305400572717,326.0,2006.6028810941314,0.9514529891249153,1.8853840560186654,1964.664490999964,0.9717630251626068,1,0,3,,,,,,,
calibration-2d-00,uniform_clutter,2,20000004,Dynamic-RRT,1,5000,5000,3232,3233,4348,1101,0,0,691.0,0.1761814010096714,382.0,2579.2728480197325,0.7402040891755521,1.8414153290214017,2579.2728480197325,0.7402040891755521,1,0,4,370,,,,,,
