Algorithm,Success Rate (%),Path Length Mean,Path Length Std,Time Mean (s),Time Std (s),Nodes Mean,Nodes Std,Smoothness Mean,Smoothness Std
RRT_Basic,100.00,2147.20,24.86,0.3888,0.0655,1051,94,0.4394,0.0152
RRT_Star_Basic,100.00,2147.72,21.40,4.0129,0.1044,2915,44,0.4425,0.0179
SC_RRT_Basic,100.00,1910.18,1.42,0.8348,0.6236,3,1,0.0068,0.0167
RRT_Connect_Basic,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
