# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 30 | 生成时间: 13-Dec-2025 18:12:18

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.388±0.065,2147.20±24.86,0.388±0.065,1051±94,0.439±0.015
RRT_Star_Basic,100.0,0.612±0.118,2147.72±21.40,4.012±0.104,2915±44,0.442±0.018
SC_RRT_Basic,100.0,0.213±0.008,1910.18±1.42,0.213±0.008,335±11,0.004±0.013

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,1,1,0.389,2128.59,0.389,1059,0.438
RRT_Star_Basic,2,1,0.552,2123.88,4.113,2931,0.426
SC_RRT_Basic,3,1,0.211,1909.19,0.211,330,0.000
RRT_Basic,4,1,0.313,2121.61,0.313,922,0.429
RRT_Star_Basic,5,1,0.558,2177.88,4.089,2949,0.457
SC_RRT_Basic,6,1,0.210,1909.19,0.210,332,0.000
RRT_Basic,7,1,0.408,2131.05,0.408,1078,0.431
RRT_Star_Basic,8,1,0.653,2165.87,4.057,2952,0.449
SC_RRT_Basic,9,1,0.217,1909.56,0.217,339,0.000
RRT_Basic,10,1,0.357,2180.79,0.357,1003,0.457
RRT_Star_Basic,11,1,0.523,2117.81,3.994,2898,0.431
SC_RRT_Basic,12,1,0.229,1909.52,0.229,357,0.000
RRT_Basic,13,1,0.361,2137.58,0.361,1020,0.439
RRT_Star_Basic,14,1,0.586,2149.38,4.103,2962,0.452
SC_RRT_Basic,15,1,0.199,1912.75,0.199,316,0.000
RRT_Basic,16,1,0.374,2188.12,0.374,1042,0.465
RRT_Star_Basic,17,1,0.542,2156.64,3.885,2838,0.460
SC_RRT_Basic,18,1,0.214,1909.19,0.214,336,0.000
RRT_Basic,19,1,0.345,2124.81,0.345,987,0.414
RRT_Star_Basic,20,1,0.521,2156.32,4.127,2961,0.468
SC_RRT_Basic,21,1,0.213,1910.78,0.213,337,0.000
RRT_Basic,22,1,0.544,2170.94,0.544,1266,0.438
RRT_Star_Basic,23,1,0.608,2171.15,3.993,2916,0.441
SC_RRT_Basic,24,1,0.207,1912.67,0.207,324,0.041
RRT_Basic,25,1,0.441,2156.97,0.441,1129,0.454
RRT_Star_Basic,26,1,0.918,2132.69,3.820,2857,0.412
SC_RRT_Basic,27,1,0.211,1909.79,0.211,341,0.000
RRT_Basic,28,1,0.349,2131.56,0.349,1001,0.430
RRT_Star_Basic,29,1,0.655,2125.63,3.943,2886,0.427
SC_RRT_Basic,30,1,0.215,1909.19,0.215,335,0.000
