Algorithm,Success Rate (%),Path Length Mean,Path Length Std,Time Mean (s),Time Std (s),Nodes Mean,Nodes Std,Smoothness Mean,Smoothness Std
RRT_Basic,100.00,2114.62,27.76,2.8896,0.1830,955,31,0.4282,0.0176
RRT_Connect_Basic,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC_RRT_Basic,100.00,1909.19,0.00,2.8564,0.0649,2,0,NaN,NaN
